id,year,category,number
199,2018,Sex offenses (except forcible rape and prostitution),46937
200,2018,Drug abuse violations,1654282
201,2018,Gambling,3323
202,2018,Offenses against family and children,87475
203,2018,Driving under the influence,1001329
204,2018,Liquor laws,173152
205,2018,Drunkenness,328772
206,2018,Disorderly conduct,329152
207,2018,Vagrancy,23546
208,2018,All other offenses,3231700
209,2018,Suspicion (not included in totals),564
210,2018,Curfew and loitering law violations,22031
211,2011,Murder and nonnegligent manslaughter,10832
212,2011,Forcible rape,19491
213,2011,Robbery,106674
214,2011,Aggravated assault,397707
215,2011,Burglary,296707
216,2011,Larceny-theft,1264986
217,2011,Motor vehicle theft,66414
218,2011,Arson,11776
221,2011,Other assaults,1241722
222,2011,Forgery and counterfeiting,70211
223,2011,Fraud,168217
224,2011,Embezzlement,16190
225,2011,Stolen property: buying or receiving or possessing,93234
226,2011,Vandalism,237638
227,2011,Weapons: carrying or possessing or etc.,153519
228,2011,Prostitution and commercialized vice,57345
229,2011,Sex offenses (except forcible rape and prostitution),69225
230,2011,Drug abuse violations,1531251
231,2011,Gambling,8596
232,2011,Offenses against family and children,116723
233,2011,Driving under the influence,1215077
234,2011,Liquor laws,500648
235,2011,Drunkenness,534218
236,2011,Disorderly conduct,582158
237,2011,Vagrancy,29203
238,2011,All other offenses,3532195
239,2011,Suspicion (not included in totals),1424
240,2011,Curfew and loitering law violations,76942
241,2005,Murder and nonnegligent manslaughter,14062
242,2005,Forcible rape,25528
243,2005,Robbery,114616
244,2005,Aggravated assault,449297
245,2005,Burglary,298835
246,2005,Larceny-theft,1146696
247,2005,Motor vehicle theft,147459
248,2005,Arson,16337
251,2005,Other assaults,1301392
252,2005,Forgery and counterfeiting,118455
253,2005,Fraud,321521
254,2005,Embezzlement,18970
255,2005,Stolen property: buying or receiving or possessing,133856
256,2005,Vandalism,279562
257,2005,Weapons: carrying or possessing or etc.,193469
258,2005,Prostitution and commercialized vice,84891
259,2005,Sex offenses (except forcible rape and prostitution),91625
260,2005,Drug abuse violations,1846351
261,2005,Gambling,11180
262,2005,Offenses against family and children,129128
263,2005,Driving under the influence,1371919
264,2005,Liquor laws,597838
265,2005,Drunkenness,556167
266,2005,Disorderly conduct,678231
267,2005,Vagrancy,33227
268,2005,All other offenses,3863785
269,2005,Suspicion (not included in totals),3764
270,2005,Curfew and loitering law violations,140835
271,2005,Runaways,108954
272,2006,Murder and nonnegligent manslaughter,13435
273,2006,Forcible rape,24535
274,2006,Robbery,125605
275,2006,Aggravated assault,447948
276,2006,Burglary,304801
277,2006,Larceny-theft,1081157
278,2006,Motor vehicle theft,137757
279,2006,Arson,16582
282,2006,Other assaults,1305757
283,2006,Forgery and counterfeiting,108823
284,2006,Fraud,280693
285,2006,Embezzlement,20012
286,2006,Stolen property: buying or receiving or possessing,122722
287,2006,Vandalism,300679
288,2006,Weapons: carrying or possessing or etc.,200782
289,2006,Prostitution and commercialized vice,79673
290,2006,Sex offenses (except forcible rape and prostitution),87252
291,2006,Drug abuse violations,1889810
292,2006,Gambling,12307
293,2006,Offenses against family and children,131491
294,2006,Driving under the influence,1460498
295,2006,Liquor laws,645734
296,2006,Drunkenness,553188
297,2006,Disorderly conduct,703504
298,2006,Vagrancy,36471
299,2006,All other offenses,4022068
300,2006,Suspicion (not included in totals),2482
301,2006,Curfew and loitering law violations,152907
302,2006,Runaways,114179
303,2007,Murder and nonnegligent manslaughter,13480
304,2007,Forcible rape,23307
305,2007,Robbery,126715
306,2007,Aggravated assault,433945
307,2007,Burglary,303853
308,2007,Larceny-theft,1172762
309,2007,Motor vehicle theft,118231
310,2007,Arson,15242
313,2007,Other assaults,1305693
314,2007,Forgery and counterfeiting,103448
315,2007,Fraud,252873
316,2007,Embezzlement,22381
317,2007,Stolen property: buying or receiving or possessing,122061
318,2007,Vandalism,291575
319,2007,Weapons: carrying or possessing or etc.,188891
320,2007,Prostitution and commercialized vice,77607
321,2007,Sex offenses (except forcible rape and prostitution),83979
322,2007,Drug abuse violations,1841182
323,2007,Gambling,12161
324,2007,Offenses against family and children,122812
325,2007,Driving under the influence,1427494
326,2007,Liquor laws,633654
327,2007,Drunkenness,589402
328,2007,Disorderly conduct,709105
329,2007,Vagrancy,33666
330,2007,All other offenses,3931965
331,2007,Suspicion (not included in totals),2176
332,2007,Curfew and loitering law violations,143002
333,2007,Runaways,108879
334,2008,Murder and nonnegligent manslaughter,12955
335,2008,Forcible rape,22584
336,2008,Robbery,129403
337,2008,Aggravated assault,429969
338,2008,Burglary,308479
339,2008,Larceny-theft,1266706
340,2008,Motor vehicle theft,98035
341,2008,Arson,14125
344,2008,Other assaults,1298342
345,2008,Forgery and counterfeiting,90127
346,2008,Fraud,234199
347,2008,Embezzlement,21402
348,2008,Stolen property: buying or receiving or possessing,111319
349,2008,Vandalism,285012
350,2008,Weapons: carrying or possessing or etc.,179661
351,2008,Prostitution and commercialized vice,75004
352,2008,Sex offenses (except forcible rape and prostitution),79914
353,2008,Drug abuse violations,1702537
354,2008,Gambling,9811
355,2008,Offenses against family and children,118419
356,2008,Driving under the influence,1483396
357,2008,Liquor laws,625939
358,2008,Drunkenness,611069
359,2008,Disorderly conduct,685985
360,2008,Vagrancy,33852
361,2008,All other offenses,3835083
362,2008,Suspicion (not included in totals),1650
363,2008,Curfew and loitering law violations,133063
364,2008,Runaways,109225
365,2009,Murder and nonnegligent manslaughter,12418
366,2009,Forcible rape,21407
367,2009,Robbery,126725
368,2009,Aggravated assault,421215
369,2009,Burglary,299351
370,2009,Larceny-theft,1334933
371,2009,Motor vehicle theft,81797
