id,offense,total,white,black,american_indian,asian,year
5027315,Vagrancy,33700,22110,10820,560,220,1983
3236173,All other offenses,2267900,1529510,702370,16090,19940,1983
3607751,Curfew and loitering law violations,75000,53200,20740,540,530,1983
573283,Murder and nonnegligent manslaughter,17770,9280,8250,120,130,1984
1650709,Forcible rape,36700,19180,17040,280,200,1984
3929892,Robbery,138630,51240,85980,600,810,1984
4384154,Aggravated assault,300860,179970,116630,2560,1710,1984
8247748,Burglary,433600,300260,127740,3340,2260,1984
6468743,Larceny-theft,1291700,849460,417460,13230,11550,1984
924601,Motor vehicle theft,121200,81070,38140,1100,900,1984
803981,Arson,19000,14600,4120,150,120,1984
3387472,Other assaults,527000,337920,181050,4890,3140,1984
5545619,Forgery and counterfeiting,82400,55100,26540,430,330,1984
1579515,Fraud,270700,184950,83460,1210,1090,1984
9322015,Embezzlement,8100,5850,2170,30,60,1984
7631785,Stolen property (buying or receiving or possessing),123100,77200,44730,650,530,1984
2643208,Vandalism,245900,194390,48140,2060,1320,1984
1033406,Weapons (carrying or possessing or etc.),177500,112900,62640,860,1100,1984
5995252,Prostitution and commercialized vice,112200,57280,53220,470,1240,1984
6962145,Sex offenses (except forcible rape and prostitution),97800,77360,19020,780,640,1984
8832496,Drug abuse violations,708400,491970,209730,3010,3690,1984
3586268,Gambling,34700,14110,19330,30,1230,1984
506708,Offenses against family and children,44300,29230,14620,360,90,1984
1998308,Driving under the influence,1779400,1577230,176320,16750,9100,1984
3645260,Liquor laws,505500,441500,51770,9420,2820,1984
8798483,Drunkenness,1152300,936560,189080,24850,1820,1984
2308208,Disorderly conduct,665900,444070,211230,8280,2320,1984
5423026,Vagrancy,29100,18670,9610,490,320,1984
3769709,All other offenses,2406900,1634350,733380,20150,19010,1984
2229652,Curfew and loitering law violations,86600,62230,22870,580,930,1984
1492346,Murder and nonnegligent manslaughter,18330,9140,8920,140,130,1985
2634210,Forcible rape,36970,19300,17180,280,200,1985
2959800,Robbery,136870,50970,84550,610,730,1985
670930,Aggravated assault,305390,179440,121040,3040,1880,1985
4826053,Burglary,443300,309240,127700,3620,2750,1985
8061413,Larceny-theft,1348400,895930,423130,15670,13680,1985
7306526,Motor vehicle theft,133900,87770,43620,1330,1180,1985
6968807,Arson,19500,14810,4380,190,110,1985
3012951,Other assaults,637600,408970,217980,6510,4150,1985
6233811,Forgery and counterfeiting,87600,59340,27270,590,400,1985
3310397,Fraud,342600,232040,107650,1610,1300,1985
94952,Embezzlement,11400,8090,3140,60,110,1985
8698987,Stolen property (buying or receiving or possessing),127100,79920,45770,770,640,1985
3649831,Vandalism,259600,202930,52580,2460,1640,1985
2297949,Weapons (carrying or possessing or etc.),180900,117190,61340,990,1380,1985
1985858,Prostitution and commercialized vice,113800,58980,53120,530,1170,1985
5995547,Sex offenses (except forcible rape and prostitution),100600,78450,20670,840,640,1985
4773901,Drug abuse violations,811400,557700,245150,3710,4850,1985
3641035,Gambling,32100,13600,17010,30,1470,1985
3857665,Offenses against family and children,58800,37620,20350,640,190,1985
1366579,Driving under the influence,1788400,1585820,171090,20380,11110,1985
3073723,Liquor laws,548600,464550,67620,12080,4350,1985
966258,Drunkenness,964800,777610,162660,22760,1760,1985
1195694,Disorderly conduct,671700,444250,216500,8440,2520,1985
2610961,Vagrancy,33800,23200,9440,1000,160,1985
5911853,All other offenses,2489200,1650890,798050,21970,18280,1985
82843,Curfew and loitering law violations,81500,60990,18590,750,1170,1985
8424855,Murder and nonnegligent manslaughter,19190,9500,9370,180,140,1986
7368651,Forcible rape,37140,19200,17460,290,200,1986
318249,Robbery,145800,53090,91320,670,720,1986
4710821,Aggravated assault,351770,207700,138970,3070,2030,1986
1386227,Burglary,450600,309980,134320,3510,2790,1986
5088918,Larceny-theft,1400200,936150,435140,15280,13640,1986
5195867,Motor vehicle theft,153600,95690,55310,1350,1250,1986
6257374,Arson,18700,14110,4410,90,80,1986
8176769,Other assaults,711000,455060,244850,6650,4440,1986
6721209,Forgery and counterfeiting,92200,61400,29820,510,460,1986
4349241,Fraud,349300,233830,112750,1540,1190,1986
6867728,Embezzlement,12600,8890,3570,50,90,1986
6653227,Stolen property (buying or receiving or possessing),135800,83770,50620,770,640,1986
4523969,Vandalism,259600,201900,53650,2350,1700,1986
3876408,Weapons (carrying or possessing or etc.),190500,121270,67020,910,1300,1986
767988,Prostitution and commercialized vice,112600,65030,46110,510,950,1986
9957992,Sex offenses (except forcible rape and prostitution),100600,77910,21180,950,560,1986
334018,Drug abuse violations,824100,543520,273380,3520,3680,1986
6927397,Gambling,30500,14280,15340,20,860,1986
7520824,Offenses against family and children,58400,38690,18800,650,260,1986
9793754,Driving under the influence,1793300,1589930,173990,19610,9780,1986
4398832,Liquor laws,600200,527580,57910,11570,3150,1986
8607915,Drunkenness,933900,746440,162170,23300,1990,1986
2230924,Disorderly conduct,676400,445760,221130,7300,2220,1986
855468,Vagrancy,38700,26100,11170,1220,220,1986
8446352,All other offenses,2730500,1786070,898850,23040,22550,1986
3894753,Curfew and loitering law violations,86200,66330,17950,660,1260,1986
1965690,Murder and nonnegligent manslaughter,19200,9080,9790,160,180,1987
8822289,Forcible rape,36310,18690,17060,360,210,1987
6051704,Robbery,138290,50240,86590,640,820,1987
1829809,Aggravated assault,352450,207750,138860,3600,2240,1987
4697585,Burglary,443400,301870,134660,3870,3000,1987
8618743,Larceny-theft,1469200,978060,459460,15930,15750,1987
557497,Motor vehicle theft,169300,103050,63000,1570,1680,1987
9972521,Arson,18000,13340,4360,170,130,1987
6928147,Other assaults,787200,494710,277510,9440,5540,1987
9273596,Forgery and counterfeiting,93900,62090,30810,530,470,1987
5814098,Fraud,341900,226890,112260,1460,1290,1987
4115913,Embezzlement,12700,8750,3810,60,80,1987
8819638,Stolen property (buying or receiving or possessing),139300,84570,53190,830,710,1987
6636465,Vandalism,273500,209120,59540,2830,2020,1987
7828580,Weapons (carrying or possessing or etc.),191700,119090,69990,1200,1430,1987
9609327,Prostitution and commercialized vice,110100,63890,44740,510,960,1987
1138831,Sex offenses (except forcible rape and prostitution),100100,78290,20040,1120,650,1987
5456393,Drug abuse violations,937400,604030,325380,3740,4250,1987
6045788,Gambling,25400,10560,13430,20,1390,1987
2281293,Offenses against family and children,58700,38020,19390,690,600,1987
6608470,Driving under the influence,1727200,1527980,167890,20070,11260,1987
7883244,Liquor laws,616700,541840,57360,14140,3360,1987
1432252,Drunkenness,828300,657020,147040,22310,1930,1987
8918937,Disorderly conduct,698700,453410,233180,9110,3000,1987
9365417,Vagrancy,36100,21920,13160,940,90,1987
6321896,All other offenses,2836700,1806360,977810,29070,23460,1987
4793397,Curfew and loitering law violations,89500,65530,21550,1110,1310,1987
9535623,Murder and nonnegligent manslaughter,21890,10000,11560,140,190,1988
140560,Forcible rape,38610,20430,17610,320,250,1988
4750890,Robbery,149100,53470,93950,730,960,1988
2826833,Aggravated assault,416300,241420,167590,4320,2970,1988
6246524,Burglary,463400,312000,143460,4040,3900,1988
1504038,Larceny-theft,1571200,1032850,503230,17160,17970,1988
4111281,Motor vehicle theft,208400,121740,82810,1580,2270,1988
1299211,Arson,19700,14500,4890,180,130,1988
6472115,Other assaults,901800,565490,320200,9610,6500,1988
7060351,Forgery and counterfeiting,101700,66050,34510,600,540,1988
4178128,Fraud,366300,241780,121400,1480,1640,1988
4431437,Embezzlement,15500,10080,5220,80,130,1988
1402528,Stolen property (buying or receiving or possessing),166300,96290,68050,1000,970,1988
831487,Vandalism,295300,222070,68010,2890,2340,1988
6446160,Weapons (carrying or possessing or etc.),221800,131540,87050,1180,2030,1988
7086779,Prostitution and commercialized vice,104100,59910,42480,590,1120,1988
4181085,Sex offenses (except forcible rape and prostitution),106300,82220,22170,1170,740,1988
8232150,Drug abuse violations,1155200,696400,448620,4660,5520,1988
9992831,Gambling,23600,11000,11300,40,1260,1988
1678679,Offenses against family and children,69900,44450,23320,770,1360,1988
6103192,Driving under the influence,1792500,1579680,179480,20540,12800,1988
8019729,Liquor laws,669600,590330,61550,14010,3720,1988
5026088,Drunkenness,818600,653140,142060,21420,1990,1988
4849850,Disorderly conduct,760500,486010,260730,10170,3600,1988
