,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,24050,10530,13120,190,210,1991
Forcible rape,40120,22300,17140,370,310,1991
Robbery,173820,65050,106510,780,1480,1991
Aggravated assault,480900,291830,180740,4440,3880,1991
Burglary,436500,302140,126110,4010,4250,1991
Larceny-theft,1588300,1049430,501160,17320,20400,1991
Motor vehicle theft,207700,121170,82190,1710,2640,1991
Arson,20000,15450,4190,190,170,1991
Simple assault,1041200,665780,353900,12830,8680,1991
Forgery and counterfeiting,103700,67510,34760,590,840,1991
Fraud,427800,295060,128940,1930,1870,1991
Embezzlement,14000,9660,4120,100,120,1991
"Stolen property (buying, receiving, possessing)",170000,99470,68260,970,1300,1991
Vandalism,335100,254780,74130,3280,2900,1991
"Weapons (carrying, possessing, etc.)",232300,129570,99300,1160,2270,1991
Prostitution and commercialized vice,98900,57410,39920,530,1030,1991
Sex offense (except forcible rape and prostitution),108000,84100,21720,1130,1040,1991
Drug abuse violations,1010000,582730,418600,3560,5110,1991
Gambling,16600,7070,8340,20,1170,1991
Offenses against the family and children,99400,66880,29250,1060,2220,1991
Driving under the influence,1771400,1579900,157150,21170,13180,1991
Liquor laws,624100,546680,59370,14420,3640,1991
Drunkenness,881100,715120,144580,19060,2350,1991
Disorderly conduct,757700,482940,261230,9500,4020,1991
Vagrancy,38500,20400,17260,740,100,1991
All other offenses (except traffic),3240000,2080880,1089640,34690,34790,1991
Curfew and loitering,93400,72250,18750,730,1670,1991
