,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,18330,9140,8920,140,130,1985
Forcible rape,36970,19300,17180,280,200,1985
Robbery,136870,50970,84550,610,730,1985
Aggravated assault,305390,179440,121040,3040,1880,1985
Burglary,443300,309240,127700,3620,2750,1985
Larceny-theft,1348400,895930,423130,15670,13680,1985
Motor vehicle theft,133900,87770,43620,1330,1180,1985
Arson,19500,14810,4380,190,110,1985
Simple assault,637600,408970,217980,6510,4150,1985
Forgery and counterfeiting,87600,59340,27270,590,400,1985
Fraud,342600,232040,107650,1610,1300,1985
Embezzlement,11400,8090,3140,60,110,1985
"Stolen property (buying, receiving, possessing)",127100,79920,45770,770,640,1985
Vandalism,259600,202930,52580,2460,1640,1985
"Weapons (carrying, possessing, etc.)",180900,117190,61340,990,1380,1985
Prostitution and commercialized vice,113800,58980,53120,530,1170,1985
Sex offense (except forcible rape and prostitution),100600,78450,20670,840,640,1985
Drug abuse violations,811400,557700,245150,3710,4850,1985
Gambling,32100,13600,17010,30,1470,1985
Offenses against the family and children,58800,37620,20350,640,190,1985
Driving under the influence,1788400,1585820,171090,20380,11110,1985
Liquor laws,548600,464550,67620,12080,4350,1985
Drunkenness,964800,777610,162660,22760,1760,1985
Disorderly conduct,671700,444250,216500,8440,2520,1985
Vagrancy,33800,23200,9440,1000,160,1985
All other offenses (except traffic),2489200,1650890,798050,21970,18280,1985
Curfew and loitering,81500,60990,18590,750,1170,1985
