,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,21810,10950,10500,180,170,1982
Forcible rape,33600,16850,16180,330,250,1982
Robbery,157630,61670,94190,740,1030,1982
Aggravated assault,313150,190890,117580,2950,1730,1982
Burglary,527100,359370,160790,3830,3110,1982
Larceny-theft,1368100,898440,443510,11910,14240,1982
Motor vehicle theft,129100,88350,38500,1230,1010,1982
Arson,20500,15460,4790,180,70,1982
Simple assault,543400,353350,181830,4780,3440,1982
Forgery and counterfeiting,97300,62700,33750,540,310,1982
Fraud,334400,226240,105590,1740,840,1982
Embezzlement,9000,6780,2100,40,80,1982
"Stolen property (buying, receiving, possessing)",137500,87810,48530,680,480,1982
Vandalism,245700,198890,43610,1960,1240,1982
"Weapons (carrying, possessing, etc.)",193500,122330,69010,1090,1070,1982
Prostitution and commercialized vice,121200,61810,57870,500,1020,1982
Sex offense (except forcible rape and prostitution),78800,61860,15700,740,500,1982
Drug abuse violations,676000,492610,176960,2800,3630,1982
Gambling,41200,14890,24750,40,1530,1982
Offenses against the family and children,58700,37190,20880,530,100,1982
Driving under the influence,1778400,1561910,188510,18620,9360,1982
Liquor laws,501200,446800,43350,9040,2010,1982
Drunkenness,1262100,1042190,190550,27380,1980,1982
Disorderly conduct,895500,547970,337350,7850,2320,1982
Vagrancy,36800,24000,12060,550,190,1982
All other offenses (except traffic),2324100,1567760,723560,16480,16300,1982
Curfew and loitering,91100,63840,26060,550,650,1982
