,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,22300,9780,12240,160,120,1989
Forcible rape,39110,20880,17660,340,230,1989
Robbery,165060,57310,106220,620,910,1989
Aggravated assault,459000,269380,182240,4290,3080,1989
Burglary,468900,315800,146320,4020,2760,1989
Larceny-theft,1604400,1049380,523940,16820,14270,1989
Motor vehicle theft,228500,130180,94510,1890,1920,1989
Arson,18600,14010,4350,140,100,1989
Simple assault,978900,616460,346480,10510,5450,1989
Forgery and counterfeiting,105400,68390,36010,560,450,1989
Fraud,376600,253920,120460,1200,1030,1989
Embezzlement,18200,12020,5990,60,130,1989
"Stolen property (buying, receiving, possessing)",176800,100040,74840,890,1030,1989
Vandalism,307800,231720,71560,2910,1610,1989
"Weapons (carrying, possessing, etc.)",225200,130280,92460,1020,1450,1989
Prostitution and commercialized vice,107400,62040,43970,580,820,1989
Sex offense (except forcible rape and prostitution),104800,81150,21990,1030,630,1989
Drug abuse violations,1361700,797070,556580,4550,3500,1989
Gambling,20600,10370,9670,50,520,1989
Offenses against the family and children,74200,49560,23580,780,290,1989
Driving under the influence,1736200,1556680,152440,18720,8360,1989
Liquor laws,657300,580970,59060,14100,3170,1989
Drunkenness,822500,659170,140850,20280,2210,1989
Disorderly conduct,776600,499830,265130,9120,2520,1989
Vagrancy,33800,19500,13610,590,110,1989
All other offenses (except traffic),3214700,2060730,1102530,31530,19910,1989
Curfew and loitering,77400,57680,18120,680,920,1989
