,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,19200,9080,9790,160,180,1987
Forcible rape,36310,18690,17060,360,210,1987
Robbery,138290,50240,86590,640,820,1987
Aggravated assault,352450,207750,138860,3600,2240,1987
Burglary,443400,301870,134660,3870,3000,1987
Larceny-theft,1469200,978060,459460,15930,15750,1987
Motor vehicle theft,169300,103050,63000,1570,1680,1987
Arson,18000,13340,4360,170,130,1987
Simple assault,787200,494710,277510,9440,5540,1987
Forgery and counterfeiting,93900,62090,30810,530,470,1987
Fraud,341900,226890,112260,1460,1290,1987
Embezzlement,12700,8750,3810,60,80,1987
"Stolen property (buying, receiving, possessing)",139300,84570,53190,830,710,1987
Vandalism,273500,209120,59540,2830,2020,1987
"Weapons (carrying, possessing, etc.)",191700,119090,69990,1200,1430,1987
Prostitution and commercialized vice,110100,63890,44740,510,960,1987
Sex offense (except forcible rape and prostitution),100100,78290,20040,1120,650,1987
Drug abuse violations,937400,604030,325380,3740,4250,1987
Gambling,25400,10560,13430,20,1390,1987
Offenses against the family and children,58700,38020,19390,690,600,1987
Driving under the influence,1727200,1527980,167890,20070,11260,1987
Liquor laws,616700,541840,57360,14140,3360,1987
Drunkenness,828300,657020,147040,22310,1930,1987
Disorderly conduct,698700,453410,233180,9110,3000,1987
Vagrancy,36100,21920,13160,940,90,1987
All other offenses (except traffic),2836700,1806360,977810,29070,23460,1987
Curfew and loitering,89500,65530,21550,1110,1310,1987
