,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,22990,10150,12480,170,200,1990
Forcible rape,39160,21780,16750,310,320,1990
Robbery,167990,62060,104170,570,1190,1990
Aggravated assault,475330,285670,181690,4560,3410,1990
Burglary,432600,295970,129270,3840,3520,1990
Larceny-theft,1554800,1044780,475490,16190,18340,1990
Motor vehicle theft,211300,124660,82370,1560,2710,1990
Arson,19100,14400,4360,210,130,1990
Simple assault,1014100,656180,338050,12160,7710,1990
Forgery and counterfeiting,94800,62090,31510,560,650,1990
Fraud,291600,196650,92730,1170,1050,1990
Embezzlement,15300,10420,4640,70,170,1990
"Stolen property (buying, receiving, possessing)",165200,96430,66620,900,1250,1990
Vandalism,326000,249060,71020,3200,2710,1990
"Weapons (carrying, possessing, etc.)",221200,130480,87300,1130,2300,1990
Prostitution and commercialized vice,111400,66980,43040,530,850,1990
Sex offense (except forcible rape and prostitution),107600,85230,20460,1000,920,1990
Drug abuse violations,1089500,641100,439980,3770,4660,1990
Gambling,19300,9260,9070,30,950,1990
Offenses against the family and children,85800,57070,25560,1050,2120,1990
Driving under the influence,1810800,1625320,152700,20280,12500,1990
Liquor laws,714700,628530,66080,16300,3790,1990
Drunkenness,910100,723300,164560,20060,2180,1990
Disorderly conduct,733000,487680,232180,9790,3340,1990
Vagrancy,38500,22030,15570,760,140,1990
All other offenses (except traffic),3267800,2106940,1099050,31020,30800,1990
Curfew and loitering,80800,61460,16820,840,1690,1990
