,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,20040,10380,9360,160,150,1980
Forcible rape,31380,16140,14760,280,200,1980
Robbery,146270,60410,84140,780,950,1980
Aggravated assault,277470,174800,98150,3140,1380,1980
Burglary,513300,360720,145830,3970,2780,1980
Larceny-theft,1191900,809930,358080,12110,11780,1980
Motor vehicle theft,138300,94910,40640,1430,1320,1980
Arson,19800,15660,3950,110,80,1980
Simple assault,488600,329120,152490,4460,2520,1980
Forgery and counterfeiting,78200,52700,24770,460,280,1980
Fraud,291500,201080,88150,1460,810,1980
Embezzlement,8500,6370,2060,40,40,1980
"Stolen property (buying, receiving, possessing)",123200,84460,37560,730,450,1980
Vandalism,250500,209180,38160,2190,970,1980
"Weapons (carrying, possessing, etc.)",166700,105300,59300,1050,1050,1980
Prostitution and commercialized vice,88900,40200,47460,470,770,1980
Sex offense (except forcible rape and prostitution),67400,53020,13330,620,440,1980
Drug abuse violations,580900,440690,135160,2560,2490,1980
Gambling,87000,26160,57780,340,2720,1980
Offenses against the family and children,55400,35190,19420,710,90,1980
Driving under the influence,1426700,1242230,160770,17280,6420,1980
Liquor laws,463500,425060,29850,7260,1330,1980
Drunkenness,1125800,920030,172630,31290,1850,1980
Disorderly conduct,769700,523530,232650,11700,1830,1980
Vagrancy,30700,20340,9550,630,180,1980
All other offenses (except traffic),1775500,1290780,452600,16370,15760,1980
Curfew and loitering,70700,57380,11840,1060,430,1980
