,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,22510,9790,12410,130,180,1992
Forcible rape,39100,22110,16280,380,330,1992
Robbery,173310,64810,106290,690,1520,1992
Aggravated assault,507210,300560,198180,4440,4040,1992
Burglary,424000,287970,128350,3540,4150,1992
Larceny-theft,1504500,986550,481920,16270,19770,1992
Motor vehicle theft,197600,113520,79880,1600,2600,1992
Arson,19900,15250,4320,170,160,1992
Simple assault,1074700,682880,370180,12510,9130,1992
Forgery and counterfeiting,105400,68950,34810,620,1020,1992
Fraud,424200,275430,144720,1940,2120,1992
Embezzlement,13700,9430,4030,60,180,1992
"Stolen property (buying, receiving, possessing)",161500,92850,66300,950,1410,1992
Vandalism,323100,244730,72230,3300,2850,1992
"Weapons (carrying, possessing, etc.)",239300,132600,102960,1250,2500,1992
Prostitution and commercialized vice,96200,57540,37150,490,1020,1992
Sex offense (except forcible rape and prostitution),108400,84430,21890,1020,1070,1992
Drug abuse violations,1066400,625330,431250,4220,5610,1992
Gambling,17100,7380,8660,70,990,1992
Offenses against the family and children,109200,73820,31420,1470,2490,1992
Driving under the influence,1624500,1423370,164960,22420,13750,1992
Liquor laws,541700,463480,59210,14470,4540,1992
Drunkenness,832300,670770,141240,18040,2250,1992
Disorderly conduct,753100,473600,265950,9410,4140,1992
Vagrancy,34300,17160,16590,420,130,1992
All other offenses (except traffic),3389500,2101270,1215320,36250,36670,1992
Curfew and loitering,91100,70240,18310,890,1660,1992
