,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,22100,9470,12200,170,270,1994
Forcible rape,36610,21030,14760,430,400,1994
Robbery,172290,65240,104110,900,2050,1994
Aggravated assault,547760,327330,209780,5270,5380,1994
Burglary,396100,270740,117470,3820,4080,1994
Larceny-theft,1514500,985820,489910,16350,22420,1994
Motor vehicle theft,200200,117100,77810,2020,3270,1994
Arson,20900,15900,4600,210,180,1994
Simple assault,1223600,785480,410830,15200,12100,1994
Forgery and counterfeiting,115300,74350,38740,690,1530,1994
Fraud,419800,266280,148160,2090,3280,1994
Embezzlement,14300,9480,4580,60,180,1994
"Stolen property (buying, receiving, possessing)",164700,96630,65140,1200,1730,1994
Vandalism,323300,244810,70510,3800,4170,1994
"Weapons (carrying, possessing, etc.)",259400,151220,103560,1690,2920,1994
Prostitution and commercialized vice,98800,61550,34900,570,1790,1994
Sex offense (except forcible rape and prostitution),100700,77540,20910,1170,1080,1994
Drug abuse violations,1351400,834470,503580,5920,7430,1994
Gambling,18500,9180,8430,50,840,1994
Offenses against the family and children,117200,76140,37450,1630,1980,1994
Driving under the influence,1384600,1203050,146800,19910,14840,1994
Liquor laws,541800,456830,67990,13190,3800,1994
Drunkenness,713200,578600,115620,16670,2320,1994
Disorderly conduct,746200,494790,237670,9630,4110,1994
Vagrancy,25300,14690,10000,480,120,1994
All other offenses (except traffic),3743200,2370450,1298800,37240,36720,1994
Curfew and loitering,128400,98420,25800,1590,2600,1994
