,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,20310,10230,9790,140,160,1983
Forcible rape,34080,17480,16150,260,190,1983
Robbery,146170,54310,90160,820,880,1983
Aggravated assault,298830,180190,114200,2710,1730,1983
Burglary,475800,325910,143940,3380,2570,1983
Larceny-theft,1315000,863510,426190,11910,13390,1983
Motor vehicle theft,119400,80490,36850,1030,1040,1983
Arson,19800,15190,4380,150,80,1983
Simple assault,547500,353480,185990,4550,3480,1983
Forgery and counterfeiting,85600,55900,28830,490,390,1983
Fraud,309800,208980,98290,1450,1080,1983
Embezzlement,8800,6420,2260,30,80,1983
"Stolen property (buying, receiving, possessing)",127700,81320,45180,750,460,1983
Vandalism,243500,193840,46500,2010,1150,1983
"Weapons (carrying, possessing, etc.)",179600,113490,64150,900,1060,1983
Prostitution and commercialized vice,125600,65770,58070,450,1310,1983
Sex offense (except forcible rape and prostitution),87000,68200,17480,810,520,1983
Drug abuse violations,661400,464300,190340,2600,4160,1983
Gambling,41000,14680,24690,40,1590,1983
Offenses against the family and children,56300,34730,20950,500,120,1983
Driving under the influence,1921100,1698770,195470,18500,8360,1983
Liquor laws,498300,444470,42150,8870,2810,1983
Drunkenness,1115200,907870,181360,24050,1930,1983
Disorderly conduct,757400,486750,259990,8250,2410,1983
Vagrancy,33700,22110,10820,560,220,1983
All other offenses (except traffic),2267900,1529510,702370,16090,19940,1983
Curfew and loitering,75000,53200,20740,540,530,1983
