,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
Aggravated assault,568480,340940,215830,5650,6060,1995
Burglary,386500,262350,116210,3910,4040,1995
Larceny-theft,1530200,992620,497270,16940,23380,1995
Motor vehicle theft,191900,112340,73840,2280,3450,1995
Arson,20000,15070,4540,200,190,1995
Other assaults,1290400,816590,444900,15800,13120,1995
Forgery and counterfeiting,122300,80790,39200,720,1590,1995
Fraud,436400,286460,144600,2280,3060,1995
Embezzlement,15200,9980,4920,100,200,1995
Stolen property: buying or receiving or possessing,166500,99380,63900,1260,1960,1995
Vandalism,311100,229450,74000,4040,3610,1995
Weapons: carrying or possessing or etc.,243900,145630,93850,1680,2740,1995
Prostitution and commercialized vice,97700,58260,37340,490,1620,1995
Sex offenses (except forcible rape and prostitution),94500,71070,21270,1050,1110,1995
Drug abuse violations,1476100,910290,550250,7120,8440,1995
Gambling,19500,9380,9180,80,860,1995
Offenses against family and children,142900,94710,44640,1480,2060,1995
Driving under the influence,1436000,1242890,153380,22820,16910,1995
Liquor laws,594900,483520,93230,14010,4140,1995
Drunkenness,708100,575590,112270,17810,2440,1995
Disorderly conduct,748600,472160,262670,9440,4340,1995
Vagrancy,25900,13950,11200,640,110,1995
All other offenses,3865400,2478670,1304870,42170,39700,1995
Curfew and loitering law violations,149800,114970,30310,2060,2460,1995
Runaways,249500,,,,,1995
Murder and nonnegligent manslaughter,13190,6350,6540,140,160,2003
Forcible rape,26350,16690,8970,360,320,2003
Robbery,107553,46540,59130,690,1200,2003
Aggravated assault,449933,286020,153420,5130,5370,2003
Burglary,290956,204130,80780,2990,3060,2003
Larceny-theft,1145074,777680,335940,14120,17330,2003
Motor vehicle theft,152934,93780,54820,1560,2780,2003
Arson,16163,12450,3440,150,120,2003
Other assaults,1246698,816370,399750,16250,14340,2003
Forgery and counterfeiting,111823,77050,32840,620,1310,2003
Fraud,299138,203420,92220,1610,1890,2003
Embezzlement,16826,11420,5080,90,240,2003
Stolen property: buying or receiving or possessing,126775,75880,48640,910,1340,2003
Vandalism,273431,206030,60450,3830,3130,2003
Weapons: carrying or possessing or etc.,167972,102640,62260,1190,1880,2003
Prostitution and commercialized vice,75190,43670,29420,410,1690,2003
Sex offenses (except forcible rape and prostitution),91546,66760,22530,1010,1250,2003
Drug abuse violations,1678192,1097610,557170,10620,12790,2003
Gambling,10954,2880,7690,20,360,2003
Offenses against family and children,136034,91030,41680,1720,1610,2003
Driving under the influence,1448148,1272640,139770,21300,14440,2003
Liquor laws,612079,531520,57970,16520,6070,2003
Drunkenness,548616,458240,73300,14060,3030,2003
Disorderly conduct,639371,419250,205670,9570,4880,2003
Vagrancy,28948,16440,11780,510,220,2003
All other offenses,3665543,2441830,1121460,52470,49780,2003
Curfew and loitering law violations,136461,92020,41510,1070,1870,2003
Runaways,123581,,,,,2003
Murder and nonnegligent manslaughter,14158,6680,7170,140,170,2002
Forcible rape,28288,17790,9790,340,370,2002
Robbery,105774,45650,58320,610,1190,2002
Aggravated assault,472290,297380,163890,5490,5530,2002
Burglary,288291,201280,81060,2680,3270,2002
Larceny-theft,1160085,782040,345190,14260,18590,2002
Motor vehicle theft,148943,87710,56580,1600,3060,2002
Arson,16635,12680,3670,140,150,2002
Other assaults,1288682,850480,407520,16310,14380,2002
Forgery and counterfeiting,115735,79230,34190,630,1690,2002
Fraud,337404,229000,104270,1840,2290,2002
Embezzlement,18552,12570,5600,90,280,2002
Stolen property: buying or receiving or possessing,126422,74220,49980,860,1360,2002
Vandalism,276697,209240,60660,3780,3020,2002
Weapons: carrying or possessing or etc.,164446,100600,60760,1220,1860,2002
Prostitution and commercialized vice,79733,45530,31980,490,1750,2002
Sex offenses (except forcible rape and prostitution),95066,70420,22340,940,1370,2002
Drug abuse violations,1538813,997630,519890,9520,11780,2002
Gambling,10506,2940,6930,70,570,2002
Offenses against family and children,140286,95650,40850,1670,2120,2002
Driving under the influence,1461746,1280230,145280,22450,13780,2002
Liquor laws,653819,569400,61280,16740,6410,2002
Drunkenness,572735,477810,78260,13830,2840,2002
Disorderly conduct,669938,445310,208940,10720,4960,2002
Vagrancy,27295,16630,9890,570,210,2002
All other offenses,3662159,2440780,1118590,51720,51070,2002
Curfew and loitering law violations,141252,96900,40570,1590,2190,2002
Runaways,125688,,,,,2002
Murder and nonnegligent manslaughter,13653,6470,6830,170,180,2001
Forcible rape,27270,16880,9710,300,380,2001
Robbery,108400,46530,59980,580,1310,2001
Aggravated assault,477809,301160,165230,5250,6170,2001
Burglary,291444,202230,83020,3000,3190,2001
Larceny-theft,1160821,766570,362370,14300,17580,2001
Motor vehicle theft,147451,85690,57720,1440,2600,2001
Arson,18749,14420,3970,190,180,2001
Other assaults,1315807,866020,417530,17630,14630,2001
Forgery and counterfeiting,113741,75170,35720,650,2200,2001
Fraud,323308,215400,103300,1770,2840,2001
Embezzlement,20157,13250,6500,100,310,2001
Stolen property: buying or receiving or possessing,121972,70330,49410,880,1360,2001
Vandalism,270645,202570,61710,3530,2840,2001
Weapons: carrying or possessing or etc.,165896,99380,63530,1180,1800,2001
Prostitution and commercialized vice,80854,45980,32400,420,2050,2001
Sex offenses (except forcible rape and prostitution),91828,66740,22790,950,1350,2001
Drug abuse violations,1586902,1014110,552380,8820,11590,2001
Gambling,11112,4510,6210,10,380,2001
Offenses against family and children,143683,96580,43460,1650,2000,2001
Driving under the influence,1434852,1261740,140090,19940,13090,2001
Liquor laws,610591,477530,116400,12600,4050,2001
Drunkenness,618668,519760,81210,14720,2970,2001
Disorderly conduct,621394,398220,210710,8150,4310,2001
Vagrancy,27935,16390,10830,560,150,2001
All other offenses,3618164,2351070,1179860,44760,42470,2001
Curfew and loitering law violations,142889,102670,36710,1410,2110,2001
Runaways,133259,,,,,2001
Murder and nonnegligent manslaughter,13227,6060,6860,140,170,2000
Forcible rape,27469,17150,9710,320,280,2000
Robbery,106130,44870,59190,640,1420,2000
Aggravated assault,478417,299910,166310,5840,6360,2000
Burglary,289844,200790,82740,3050,3270,2000
Larceny-theft,1166362,773630,359010,15410,18310,2000
Motor vehicle theft,148225,84420,59430,1820,2560,2000
Arson,16530,12500,3710,170,150,2000
Other assaults,1312169,864050,415900,18130,14090,2000
Forgery and counterfeiting,108654,72130,34190,670,1670,2000
Fraud,345732,224490,116390,1890,2970,2000
Embezzlement,18952,12020,6490,120,330,2000
Stolen property: buying or receiving or possessing,118641,67380,49010,950,1310,2000
Vandalism,281305,213030,61390,3840,3050,2000
Weapons: carrying or possessing or etc.,159181,95810,60170,1280,1930,2000
Prostitution and commercialized vice,87620,50790,34190,680,1960,2000
Sex offenses (except forcible rape and prostitution),93399,68900,22230,1030,1240,2000
Drug abuse violations,1579566,1005850,553910,9130,10680,2000
Gambling,10842,4800,5640,40,370,2000
Offenses against family and children,147663,99080,44930,1650,2010,2000
Driving under the influence,1471289,1295860,141060,21630,12750,2000
Liquor laws,683124,540600,123090,15440,3990,2000
Drunkenness,637554,534270,85440,14810,3030,2000
Disorderly conduct,638740,413700,212500,8570,3980,2000
Vagrancy,32542,17280,14420,660,180,2000
All other offenses,3710434,2389810,1233420,46430,40780,2000
Curfew and loitering law violations,154711,113340,36400,2070,2900,2000
Runaways,141975,,,,,2000
