,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
Embezzlement,15967,9550,6010,120,280,2017
Stolen property: buying or receiving or possessing,98660,62690,33020,1330,1610,2017
Vandalism,188350,128830,52740,4210,2570,2017
Weapons: carrying or possessing or etc.,164984,88660,72360,1750,2220,2017
Prostitution and commercialized vice,36247,20300,13620,150,2180,2017
Sex offenses (except forcible rape and prostitution),48525,NA,NA,NA,NA,2017
Drug abuse violations,1632921,1149750,442930,19450,20800,2017
Gambling,3237,1240,1680,30,290,2017
Offenses against family and children,94062,61600,26390,5340,730,2017
Driving under the influence,990678,809410,138410,20910,21950,2017
Liquor laws,207332,162030,29140,12790,3370,2017
Drunkenness,366824,271190,52320,39020,4300,2017
Disorderly conduct,353151,222080,112390,15270,3410,2017
Vagrancy,23321,15940,6510,600,280,2017
All other offenses,3290015,2266440,907700,75070,40810,2017
Curfew and loitering law violations,30131,16880,12220,540,500,2017
Murder and nonnegligent manslaughter,11075,5290,5520,140,140,2012
Forcible rape,18098,11660,5880,280,280,2012
Robbery,103661,44270,57250,810,1340,2012
Aggravated assault,388362,243390,132470,5740,6770,2012
Burglary,283582,190150,87150,2580,3700,2012
Larceny-theft,1282352,870090,372380,19340,20560,2012
Motor vehicle theft,68845,45470,21080,860,1440,2012
Arson,11433,8360,2750,170,150,2012
Other assaults,1199476,783320,381220,18090,16850,2012
Forgery and counterfeiting,67046,43870,21900,340,950,2012
Fraud,153535,102160,48330,1430,1620,2012
Embezzlement,16023,10380,5240,90,310,2012
Stolen property: buying or receiving or possessing,97670,64690,30780,810,1390,2012
Vandalism,228463,163870,58000,3810,2790,2012
Weapons: carrying or possessing or etc.,149286,86240,59910,1050,2100,2012
Prostitution and commercialized vice,56575,30220,24080,310,1970,2012
Sex offenses (except forcible rape and prostitution),68355,49350,16870,840,1300,2012
Drug abuse violations,1552432,1040990,482400,11100,17940,2012
Gambling,7868,2270,5200,40,360,2012
Offenses against family and children,107018,70100,33940,2200,780,2012
Driving under the influence,1282957,1081950,154620,17530,28860,2012
Liquor laws,441532,357750,62080,15030,6670,2012
Drunkenness,511271,416360,80310,9200,5400,2012
Disorderly conduct,543995,339070,189920,10190,4810,2012
Vagrancy,27003,16390,9720,630,260,2012
All other offenses,3448856,2300050,1043870,53470,51470,2012
Curfew and loitering law violations,70190,40080,27840,1070,1200,2012
Murder and nonnegligent manslaughter,11970,5280,6380,140,160,2018
Forcible rape,25205,NA,NA,NA,NA,2018
Robbery,88128,38300,47750,890,1190,2018
Aggravated assault,395800,245050,133330,8940,8480,2018
Burglary,178611,121570,52610,2110,2330,2018
Larceny-theft,887622,593730,266460,15880,11550,2018
Motor vehicle theft,91676,59130,29640,1530,1370,2018
Arson,9387,6670,2350,190,180,2018
Other assaults,1063535,685120,340410,21020,16980,2018
Forgery and counterfeiting,50072,33370,15450,440,810,2018
Fraud,119951,78400,38000,1900,1650,2018
Embezzlement,14765,9150,5230,160,230,2018
Stolen property: buying or receiving or possessing,93161,58880,31570,1170,1540,2018
Vandalism,179828,121640,51880,3930,2380,2018
Weapons: carrying or possessing or etc.,168403,91650,72940,1460,2360,2018
Prostitution and commercialized vice,31147,17130,12070,130,1820,2018
Sex offenses (except forcible rape and prostitution),46937,NA,NA,NA,NA,2018
Drug abuse violations,1654282,1167900,446470,18970,20940,2018
Gambling,3323,1350,1610,10,350,2018
Offenses against family and children,87475,58950,25190,2580,760,2018
Driving under the influence,1001329,812760,147760,17880,22930,2018
Liquor laws,173152,135730,25260,9400,2760,2018
Drunkenness,328772,252360,49390,22760,4260,2018
Disorderly conduct,329152,209800,103480,12930,2940,2018
Vagrancy,23546,16730,5820,630,370,2018
All other offenses,3231700,2231960,887940,72850,38950,2018
Curfew and loitering law violations,22031,12340,9030,360,310,2018
Murder and nonnegligent manslaughter,10832,5210,5350,140,130,2011
Forcible rape,19491,12770,6200,240,280,2011
Robbery,106674,45730,59000,810,1140,2011
Aggravated assault,397707,253580,133230,6040,4870,2011
Burglary,296707,197920,93380,2750,2650,2011
Larceny-theft,1264986,867830,359700,19420,18040,2011
Motor vehicle theft,66414,42420,22180,870,940,2011
Arson,11776,8470,3020,140,140,2011
Other assaults,1241722,816220,390590,19760,15150,2011
Forgery and counterfeiting,70211,46170,22790,380,870,2011
Fraud,168217,111780,53410,1480,1540,2011
Embezzlement,16190,10640,5180,80,290,2011
Stolen property: buying or receiving or possessing,93234,61870,29790,720,860,2011
Vandalism,237638,173190,57740,3980,2730,2011
Weapons: carrying or possessing or etc.,153519,89340,61480,1150,1550,2011
Prostitution and commercialized vice,57345,30660,24740,340,1610,2011
Sex offenses (except forcible rape and prostitution),69225,50130,17180,940,970,2011
Drug abuse violations,1531251,1025250,481430,10960,13610,2011
Gambling,8596,2610,5580,50,360,2011
Offenses against family and children,116723,76480,36920,2440,880,2011
Driving under the influence,1215077,1032850,145020,18050,19170,2011
Liquor laws,500648,411630,66140,16590,6290,2011
Drunkenness,534218,436830,83080,10430,3870,2011
Disorderly conduct,582158,367350,198550,11420,4830,2011
Vagrancy,29203,16730,11720,560,190,2011
All other offenses,3532195,2354990,1073390,57030,46790,2011
Curfew and loitering law violations,76942,47150,27580,1060,1160,2011
Murder and nonnegligent manslaughter,14062,6950,6780,160,160,2005
Forcible rape,25528,16620,8330,310,270,2005
Robbery,114616,47970,64870,720,1060,2005
Aggravated assault,449297,285050,153330,5980,4930,2005
Burglary,298835,208770,84250,3140,2670,2005
Larceny-theft,1146696,795650,319460,15350,16230,2005
Motor vehicle theft,147459,92090,51730,1520,2130,2005
Arson,16337,12590,3400,170,190,2005
Other assaults,1301392,854430,413090,18760,15120,2005
Forgery and counterfeiting,118455,84020,32380,680,1380,2005
Fraud,321521,220840,96870,1820,2000,2005
Embezzlement,18970,12770,5820,130,250,2005
Stolen property: buying or receiving or possessing,133856,86040,45500,1070,1250,2005
Vandalism,279562,210160,62220,4260,2920,2005
Weapons: carrying or possessing or etc.,193469,114920,75320,1420,1820,2005
Prostitution and commercialized vice,84891,46820,35420,830,1810,2005
Sex offenses (except forcible rape and prostitution),91625,67870,21800,990,960,2005
Drug abuse violations,1846351,1202920,617740,12300,13390,2005
Gambling,11180,2950,7870,30,320,2005
Offenses against family and children,129128,87970,37940,2430,790,2005
Driving under the influence,1371919,1214290,123050,19420,15160,2005
Liquor laws,597838,511260,64330,16060,6180,2005
Drunkenness,556167,466490,73940,12700,3040,2005
Disorderly conduct,678231,432540,229930,10660,5100,2005
Vagrancy,33227,18450,14010,560,210,2005
All other offenses,3863785,2606250,1157240,53830,46460,2005
Curfew and loitering law violations,140835,87290,50650,1220,1680,2005
Runaways,108954,,,,,2005
Murder and nonnegligent manslaughter,13435,6360,6780,150,150,2006
Forcible rape,24535,16050,7910,290,280,2006
Robbery,125605,52990,70630,830,1160,2006
Aggravated assault,447948,284340,152690,5840,5080,2006
Burglary,304801,211640,87390,3000,2780,2006
Larceny-theft,1081157,745320,307860,13520,14460,2006
Motor vehicle theft,137757,86890,47370,1410,2090,2006
Arson,16582,12670,3510,170,230,2006
Other assaults,1305757,860530,411290,18900,15040,2006
Forgery and counterfeiting,108823,76570,30320,600,1340,2006
Fraud,280693,193720,83520,1650,1810,2006
Embezzlement,20012,13170,6420,110,310,2006
Stolen property: buying or receiving or possessing,122722,79730,40920,920,1160,2006
Vandalism,300679,227870,65200,4370,3240,2006
Weapons: carrying or possessing or etc.,200782,116400,80900,1570,1930,2006
Prostitution and commercialized vice,79673,45350,31440,750,2150,2006
Sex offenses (except forcible rape and prostitution),87252,64080,21240,890,1040,2006
Drug abuse violations,1889810,1208360,656230,11770,13450,2006
Gambling,12307,3360,8530,20,400,2006
Offenses against family and children,131491,88300,39980,2410,810,2006
Driving under the influence,1460498,1291800,132840,19140,16730,2006
Liquor laws,645734,552690,67980,17420,7660,2006
Drunkenness,553188,466270,73200,10610,3110,2006
Disorderly conduct,703504,446620,240770,10640,5470,2006
Vagrancy,36471,20690,15150,450,180,2006
All other offenses,4022068,2725590,1194120,53720,48630,2006
Curfew and loitering law violations,152907,93730,56270,1180,1720,2006
Runaways,114179,,,,,2006
Murder and nonnegligent manslaughter,13480,6430,6770,130,150,2007
Forcible rape,23307,15040,7670,290,310,2007
Robbery,126715,52910,71850,780,1170,2007
Aggravated assault,433945,278130,145160,5780,4880,2007
Burglary,303853,208760,89420,2950,2730,2007
Larceny-theft,1172762,800830,340460,15270,16200,2007
Motor vehicle theft,118231,73130,42040,1360,1700,2007
Arson,15242,11440,3470,160,180,2007
Other assaults,1305693,857680,414650,18360,15010,2007
Forgery and counterfeiting,103448,71950,29720,540,1240,2007
Fraud,252873,175030,74260,1770,1820,2007
Embezzlement,22381,14310,7580,130,360,2007
Stolen property: buying or receiving or possessing,122061,77040,42900,980,1140,2007
Vandalism,291575,220290,63600,4360,3330,2007
Weapons: carrying or possessing or etc.,188891,109570,76000,1420,1900,2007
Prostitution and commercialized vice,77607,44880,29990,710,2030,2007
Sex offenses (except forcible rape and prostitution),83979,61580,20510,820,1070,2007
Drug abuse violations,1841182,1179810,636340,11870,13160,2007
Gambling,12161,3130,8750,30,260,2007
Offenses against family and children,122812,83640,36150,2270,750,2007
Driving under the influence,1427494,1259910,131320,19050,17220,2007
Liquor laws,633654,543360,64770,18440,7080,2007
Drunkenness,589402,493790,80740,11610,3260,2007
Disorderly conduct,709105,453540,239440,10880,5250,2007
Vagrancy,33666,20310,12560,640,150,2007
All other offenses,3931965,2649790,1179060,52950,50170,2007
Curfew and loitering law violations,143002,91700,48260,1260,1780,2007
Runaways,108879,,,,,2007
Murder and nonnegligent manslaughter,12955,6250,6440,130,130,2008
Forcible rape,22584,14900,7130,260,300,2008
Robbery,129403,53900,73450,870,1190,2008
Aggravated assault,429969,273630,145500,5830,5020,2008
Burglary,308479,207190,95710,2730,2850,2008
Larceny-theft,1266706,864600,368780,16010,17320,2008
Motor vehicle theft,98035,58900,36850,1030,1250,2008
Arson,14125,10780,3000,170,180,2008
Other assaults,1298342,851840,413030,18270,15210,2008
Forgery and counterfeiting,90127,61560,27150,420,1000,2008
Fraud,234199,158520,72030,1790,1870,2008
Embezzlement,21402,13830,7100,120,350,2008
Stolen property: buying or receiving or possessing,111319,68940,40610,860,910,2008
Vandalism,285012,215580,61850,4320,3270,2008
Weapons: carrying or possessing or etc.,179661,102150,74510,1320,1680,2008
Prostitution and commercialized vice,75004,41830,30600,620,1950,2008
Sex offenses (except forcible rape and prostitution),79914,58990,18990,840,1090,2008
Drug abuse violations,1702537,1093970,585120,10970,12480,2008
Gambling,9811,2280,7180,30,330,2008
Offenses against family and children,118419,79120,36280,2230,790,2008
Driving under the influence,1483396,1296560,147630,20010,19190,2008
Liquor laws,625939,530290,70980,17500,7160,2008
Drunkenness,611069,506460,89890,11380,3350,2008
Disorderly conduct,685985,437380,232030,10980,5590,2008
Vagrancy,33852,20220,12820,620,180,2008
All other offenses,3835083,2566910,1166040,51900,50240,2008
Curfew and loitering law violations,133063,84720,45570,1040,1730,2008
Runaways,109225,,,,,2008
Murder and nonnegligent manslaughter,12418,6110,6060,130,120,2009
Forcible rape,21407,14130,6740,220,310,2009
Robbery,126725,54230,70310,910,1280,2009
Aggravated assault,421215,268730,141380,6050,5070,2009
Burglary,299351,200100,93880,2560,2810,2009
Larceny-theft,1334933,911290,385860,18310,19480,2009
Motor vehicle theft,81797,50210,29390,1060,1140,2009
Arson,12204,9160,2750,150,150,2009
Other assaults,1319458,864890,419770,19200,15600,2009
Forgery and counterfeiting,85844,57400,27040,430,970,2009
Fraud,210255,141270,65390,1650,1950,2009
Embezzlement,17920,11850,5650,100,330,2009
Stolen property: buying or receiving or possessing,105303,66270,37240,840,950,2009
Vandalism,270439,201640,61520,4250,3030,2009
Weapons: carrying or possessing or etc.,166334,95750,67810,1220,1550,2009
Prostitution and commercialized vice,71355,39900,29130,540,1780,2009
Sex offenses (except forcible rape and prostitution),77326,56910,18360,920,1130,2009
Drug abuse violations,1663582,1086000,554110,11040,12440,2009
Gambling,10360,2990,7030,30,310,2009
Offenses against family and children,114564,77210,34400,2130,820,2009
Driving under the influence,1440409,1245500,157000,19100,18810,2009
Liquor laws,570333,479790,64340,18600,7600,2009
Drunkenness,594300,491640,88450,10680,3530,2009
Disorderly conduct,655322,416620,222070,11190,5440,2009
Vagrancy,33388,18470,14010,670,250,2009
All other offenses,3764672,2506310,1154160,55400,48800,2009
Curfew and loitering law violations,112593,68510,41600,1100,1390,2009
Runaways,93434,,,,,2009
Murder and nonnegligent manslaughter,11201,5540,5430,120,110,2010
Forcible rape,20088,13210,6310,290,280,2010
Robbery,112300,48320,62020,790,1190,2010
Aggravated assault,408488,260770,136400,6100,5220,2010
Burglary,289769,195780,88740,2500,2750,2010
Larceny-theft,1271410,875620,359080,18130,18570,2010
Motor vehicle theft,71487,45340,24200,890,1060,2010
Arson,11296,8520,2520,130,130,2010
Other assaults,1292449,850800,406490,19260,15910,2010
Forgery and counterfeiting,78101,51860,24890,440,900,2010
Fraud,187887,123420,61190,1560,1730,2010
Embezzlement,16616,11020,5160,110,330,2010
Stolen property: buying or receiving or possessing,94802,61860,31250,760,940,2010
Vandalism,252753,186570,59190,4210,2790,2010
Weapons: carrying or possessing or etc.,159020,92630,63710,1100,1590,2010
Prostitution and commercialized vice,62668,33990,26590,430,1650,2010
Sex offenses (except forcible rape and prostitution),72628,53490,17130,950,1050,2010
Drug abuse violations,1638846,1093910,519830,11240,13870,2010
Gambling,9941,2860,6650,40,390,2010
Offenses against family and children,111062,74270,34030,2000,760,2010
Driving under the influence,1412223,1209990,162160,18310,21760,2010
Liquor laws,512790,424990,62930,17790,7080,2010
Drunkenness,560718,461340,84920,10820,3650,2010
Disorderly conduct,615172,390410,208760,10830,5180,2010
Vagrancy,32033,17900,13190,720,210,2010
All other offenses,3720402,2470680,1146150,55580,48000,2010
Curfew and loitering law violations,94797,56190,36300,1010,1300,2010
Murder and nonnegligent manslaughter,13467,6680,6490,140,160,2004
Forcible rape,26066,16880,8560,330,300,2004
Robbery,108992,48350,58960,670,1020,2004
Aggravated assault,438033,281370,146270,5490,4910,2004
Burglary,294645,207820,80970,3020,2840,2004
Larceny-theft,1185619,818000,335190,14950,17470,2004
Motor vehicle theft,148429,93310,51310,1560,2250,2004
Arson,15504,11910,3230,170,190,2004
Other assaults,1284858,844300,408280,16920,15360,2004
Forgery and counterfeiting,119518,83330,34080,740,1370,2004
Fraud,282938,198890,80580,1640,1820,2004
Embezzlement,17332,11860,5080,90,310,2004
Stolen property: buying or receiving or possessing,128529,80260,46070,980,1220,2004
Vandalism,272522,207080,58670,3920,2860,2004
Weapons: carrying or possessing or etc.,175776,109260,63410,1360,1750,2004
Prostitution and commercialized vice,87872,49990,35440,710,1730,2004
Sex offenses (except forcible rape and prostitution),90913,67000,21960,840,1120,2004
Drug abuse violations,1746570,1141850,581460,10990,12260,2004
Gambling,10755,3070,7290,60,330,2004
Offenses against family and children,124936,84790,37500,1950,710,2004
Driving under the influence,1433382,1266010,131440,20440,15490,2004
Liquor laws,612528,524930,65130,15820,6650,2004
Drunkenness,552671,463590,74520,11780,2780,2004
Disorderly conduct,657637,430140,212520,9770,5210,2004
Vagrancy,36404,22050,13470,640,240,2004
All other offenses,3815435,2571650,1142020,52620,49140,2004
Curfew and loitering law violations,137398,90420,44190,930,1850,2004
Runaways,119342,,,,,2004
Murder and nonnegligent manslaughter,14790,6820,7600,180,190,1999
Forcible rape,28830,17820,10340,350,330,1999
Robbery,108850,45670,61180,660,1340,1999
Aggravated assault,483530,302530,169360,5440,6210,1999
Burglary,296100,203150,86390,3030,3530,1999
Larceny-theft,1189400,785680,368050,16020,19650,1999
Motor vehicle theft,142200,79870,58330,1620,2370,1999
Arson,16800,12700,3790,180,140,1999
Other assaults,1294400,846490,416510,17820,13580,1999
Forgery and counterfeiting,106900,70220,34620,620,1450,1999
Fraud,363800,230830,128430,1550,2990,1999
Embezzlement,17100,10860,5930,80,230,1999
Stolen property: buying or receiving or possessing,121900,69520,49940,1060,1390,1999
Vandalism,278200,209830,61130,4190,3050,1999
Weapons: carrying or possessing or etc.,172400,103900,65240,1340,1920,1999
Prostitution and commercialized vice,92100,54360,35150,640,1960,1999
Sex offenses (except forcible rape and prostitution),92400,69730,20410,1150,1110,1999
Drug abuse violations,1532200,966780,546750,8820,9850,1999
Gambling,10400,4570,5480,10,340,1999
Offenses against family and children,151200,101410,45970,1650,2180,1999
Driving under the influence,1511300,1319620,153340,22800,15540,1999
Liquor laws,657900,526570,110820,15820,4690,1999
Drunkenness,656100,542790,93660,16840,2810,1999
Disorderly conduct,633100,415150,204770,9110,4070,1999
Vagrancy,30000,15790,13330,690,190,1999
All other offenses,3728100,2399770,1242290,47030,39010,1999
Curfew and loitering law violations,167200,122950,40120,2040,2090,1999
Runaways,148300,,,,,1999
Murder and nonnegligent manslaughter,17450,8130,8920,210,200,1998
Forcible rape,31070,18850,11450,360,410,1998
Robbery,120870,51000,67650,750,1480,1998
Aggravated assault,506630,312950,181920,5430,6330,1998
Burglary,330700,228480,94670,3570,3980,1998
Larceny-theft,1307100,857580,410770,16710,22050,1998
Motor vehicle theft,150700,90170,56340,1760,2440,1998
Arson,17200,12860,3960,170,200,1998
Other assaults,1338800,871120,436040,17260,14390,1998
Forgery and counterfeiting,114600,75920,36360,740,1580,1998
Fraud,394600,257180,131850,1870,3700,1998
Embezzlement,17100,10920,5860,110,220,1998
Stolen property: buying or receiving or possessing,137900,81180,54040,1200,1480,1998
Vandalism,300200,223540,69700,3880,3090,1998
Weapons: carrying or possessing or etc.,190600,114390,72890,1310,2010,1998
Prostitution and commercialized vice,94000,57000,34630,590,1780,1998
Sex offenses (except forcible rape and prostitution),93600,69870,21400,1090,1240,1998
Drug abuse violations,1559100,965560,575330,8300,9920,1998
Gambling,12800,5450,6810,30,500,1998
Offenses against family and children,146400,100010,42940,1340,2120,1998
Driving under the influence,1402800,1220020,145460,20370,16960,1998
Liquor laws,630400,500570,110060,13550,6220,1998
Drunkenness,710300,586910,103110,17560,2720,1998
Disorderly conduct,696100,450480,231520,8590,5510,1998
Vagrancy,30400,16330,13030,720,330,1998
All other offenses,3824100,2444010,1291000,43400,45690,1998
Curfew and loitering law violations,187800,136720,46810,2070,2200,1998
Runaways,165100,,,,,1998
Murder and nonnegligent manslaughter,18290,7920,9990,150,230,1997
Forcible rape,32060,18760,12580,370,350,1997
Robbery,132450,53180,76760,780,1730,1997
Aggravated assault,534920,327720,194670,5880,6650,1997
Burglary,356000,244730,102750,4070,4460,1997
Larceny-theft,1472600,957610,470290,19080,25630,1997
Motor vehicle theft,167000,97990,63770,2160,3080,1997
Arson,20000,15040,4560,170,230,1997
Other assaults,1395800,887570,474020,19030,15190,1997
Forgery and counterfeiting,120100,78830,38790,770,1710,1997
Fraud,414600,273160,135990,2160,3280,1997
Embezzlement,17400,11150,5900,90,270,1997
Stolen property: buying or receiving or possessing,155300,90660,61440,1340,1850,1997
Vandalism,318400,235830,74800,4300,3470,1997
Weapons: carrying or possessing or etc.,218900,129890,84910,1700,2400,1997
Prostitution and commercialized vice,101600,58640,40630,620,1700,1997
Sex offenses (except forcible rape and prostitution),101900,75500,23840,1250,1310,1997
Drug abuse violations,1583600,988840,575270,8710,10780,1997
Gambling,15900,7090,8240,70,500,1997
Offenses against family and children,155800,105180,46620,1550,2450,1997
Driving under the influence,1477300,1293250,146970,23230,13850,1997
Liquor laws,636400,504220,111530,15960,4700,1997
Drunkenness,734800,595870,117950,17950,3030,1997
Disorderly conduct,811100,517840,276200,11480,5590,1997
Vagrancy,28800,15010,13160,540,90,1997
All other offenses,3884600,2488140,1305280,46690,44490,1997
Curfew and loitering law violations,182700,128620,48800,2590,2690,1997
Runaways,196100,,,,,1997
Murder and nonnegligent manslaughter,19020,8460,10060,220,280,1996
Forcible rape,33050,19050,13250,370,380,1996
Robbery,156270,63030,90140,860,2250,1996
Aggravated assault,521570,316690,192850,5640,6390,1996
Burglary,364800,252490,103660,4190,4460,1996
Larceny-theft,1486300,975700,465850,19230,25520,1996
Motor vehicle theft,175400,101560,68210,2220,3400,1996
Arson,19000,14310,4330,190,180,1996
Other assaults,1329000,846130,449910,18300,14670,1996
Forgery and counterfeiting,121600,79140,39600,920,1950,1996
Fraud,465000,302690,156750,2220,3340,1996
Embezzlement,15700,10110,5280,80,230,1996
Stolen property: buying or receiving or possessing,151100,89370,58650,1220,1850,1996
Vandalism,320900,239430,73300,4480,3700,1996
Weapons: carrying or possessing or etc.,216200,128570,83480,1640,2510,1996
Prostitution and commercialized vice,99000,58670,37570,630,2140,1996
Sex offenses (except forcible rape and prostitution),95800,72050,21470,1100,1180,1996
Drug abuse violations,1506200,933390,555580,7870,9360,1996
Gambling,21000,9620,10520,80,770,1996
Offenses against family and children,149800,100250,45620,1800,2140,1996
Driving under the influence,1467300,1275820,147210,25270,19010,1996
Liquor laws,677400,556990,98710,17130,4570,1996
Drunkenness,718700,586390,111830,17760,2730,1996
Disorderly conduct,842600,540160,285730,11240,5460,1996
Vagrancy,27800,15320,11850,530,110,1996
All other offenses,3786700,2463350,1233130,48650,41570,1996
Curfew and loitering law violations,185100,136030,43580,2300,3190,1996
Runaways,195700,,,,,1996
Murder and nonnegligent manslaughter,21230,9370,11410,190,270,1995
Forcible rape,34650,19670,14270,350,360,1995
Robbery,171870,66650,102300,870,2050,1995
