,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,23400,9690,13300,160,250,1993
Forcible rape,38420,22290,15430,410,290,1993
Robbery,173620,63740,107410,740,1740,1993
Aggravated assault,518670,306640,202470,4800,4760,1993
Burglary,402700,273240,121590,3850,4020,1993
Larceny-theft,1476300,952240,487600,15970,20490,1993
Motor vehicle theft,195900,111820,79210,1810,3060,1993
Arson,19400,14680,4370,180,170,1993
Simple assault,1144900,719920,400020,14130,10830,1993
Forgery and counterfeiting,106900,68460,36750,650,1040,1993
Fraud,410700,258840,147250,2040,2580,1993
Embezzlement,12900,8820,3870,60,160,1993
"Stolen property (buying, receiving, possessing)",158100,90800,64630,1010,1670,1993
Vandalism,313000,233880,72050,3550,3520,1993
"Weapons (carrying, possessing, etc.)",262300,146160,111950,1450,2740,1993
Prostitution and commercialized vice,97800,59180,36740,530,1350,1993
Sex offense (except forcible rape and prostitution),104100,80080,21840,1100,1090,1993
Drug abuse violations,1126300,674760,440900,4850,5800,1993
Gambling,17300,7670,8860,60,710,1993
Offenses against the family and children,109100,72630,33170,1490,1820,1993
Driving under the influence,1524800,1330020,159430,21210,14140,1993
Liquor laws,518500,441310,61730,12300,3150,1993
Drunkenness,726600,584260,123420,16720,2190,1993
Disorderly conduct,727000,460960,252810,9640,3590,1993
Vagrancy,28200,16200,11270,610,120,1993
All other offenses (except traffic),3518700,2210020,1240590,36630,31470,1993
Curfew and loitering,100200,79420,17310,1320,2150,1993
