,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,21890,10000,11560,140,190,1988
Forcible rape,38610,20430,17610,320,250,1988
Robbery,149100,53470,93950,730,960,1988
Aggravated assault,416300,241420,167590,4320,2970,1988
Burglary,463400,312000,143460,4040,3900,1988
Larceny-theft,1571200,1032850,503230,17160,17970,1988
Motor vehicle theft,208400,121740,82810,1580,2270,1988
Arson,19700,14500,4890,180,130,1988
Simple assault,901800,565490,320200,9610,6500,1988
Forgery and counterfeiting,101700,66050,34510,600,540,1988
Fraud,366300,241780,121400,1480,1640,1988
Embezzlement,15500,10080,5220,80,130,1988
"Stolen property (buying, receiving, possessing)",166300,96290,68050,1000,970,1988
Vandalism,295300,222070,68010,2890,2340,1988
"Weapons (carrying, possessing, etc.)",221800,131540,87050,1180,2030,1988
Prostitution and commercialized vice,104100,59910,42480,590,1120,1988
Sex offense (except forcible rape and prostitution),106300,82220,22170,1170,740,1988
Drug abuse violations,1155200,696400,448620,4660,5520,1988
Gambling,23600,11000,11300,40,1260,1988
Offenses against the family and children,69900,44450,23320,770,1360,1988
Driving under the influence,1792500,1579680,179480,20540,12800,1988
Liquor laws,669600,590330,61550,14010,3720,1988
Drunkenness,818600,653140,142060,21420,1990,1988
Disorderly conduct,760500,486010,260730,10170,3600,1988
Vagrancy,36500,21760,13660,950,140,1988
All other offenses (except traffic),3078900,1993680,1025810,30110,29300,1988
Curfew and loitering,72200,52610,17450,700,1430,1988
