,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,21590,10900,10400,140,160,1981
Forcible rape,31710,16050,15210,220,230,1981
Robbery,153890,59440,92770,720,950,1981
Aggravated assault,283270,175550,103570,2530,1630,1981
Burglary,518900,356640,155680,3510,3080,1981
Larceny-theft,1261600,836020,402020,10780,12780,1981
Motor vehicle theft,129200,87730,39240,1130,1110,1981
Arson,20600,16220,4140,140,100,1981
Simple assault,494200,327570,159270,4200,3160,1981
Forgery and counterfeiting,86600,55120,30760,420,300,1981
Fraud,295100,202040,90660,1440,960,1981
Embezzlement,8700,6460,2140,40,70,1981
"Stolen property (buying, receiving, possessing)",129500,84900,43440,660,500,1981
Vandalism,242600,197110,42490,1880,1120,1981
"Weapons (carrying, possessing, etc.)",179700,112070,65610,910,1110,1981
Prostitution and commercialized vice,106600,52720,52430,390,1060,1981
Sex offense (except forcible rape and prostitution),72000,56200,14650,640,520,1981
Drug abuse violations,559900,414160,140420,2300,3030,1981
Gambling,40700,13590,25890,30,1190,1981
Offenses against the family and children,56500,35210,20620,590,70,1981
Driving under the influence,1531400,1342740,164250,16650,7760,1981
Liquor laws,483500,438060,36150,7380,1910,1981
Drunkenness,1155400,954150,170760,28660,1830,1981
Disorderly conduct,787100,499510,276940,8160,2500,1981
Vagrancy,33000,23080,9240,490,190,1981
All other offenses (except traffic),1908700,1349760,529540,13770,15630,1981
Curfew and loitering,94800,68270,25440,540,550,1981
