,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,17770,9280,8250,120,130,1984
Forcible rape,36700,19180,17040,280,200,1984
Robbery,138630,51240,85980,600,810,1984
Aggravated assault,300860,179970,116630,2560,1710,1984
Burglary,433600,300260,127740,3340,2260,1984
Larceny-theft,1291700,849460,417460,13230,11550,1984
Motor vehicle theft,121200,81070,38140,1100,900,1984
Arson,19000,14600,4120,150,120,1984
Simple assault,527000,337920,181050,4890,3140,1984
Forgery and counterfeiting,82400,55100,26540,430,330,1984
Fraud,270700,184950,83460,1210,1090,1984
Embezzlement,8100,5850,2170,30,60,1984
"Stolen property (buying, receiving, possessing)",123100,77200,44730,650,530,1984
Vandalism,245900,194390,48140,2060,1320,1984
"Weapons (carrying, possessing, etc.)",177500,112900,62640,860,1100,1984
Prostitution and commercialized vice,112200,57280,53220,470,1240,1984
Sex offense (except forcible rape and prostitution),97800,77360,19020,780,640,1984
Drug abuse violations,708400,491970,209730,3010,3690,1984
Gambling,34700,14110,19330,30,1230,1984
Offenses against the family and children,44300,29230,14620,360,90,1984
Driving under the influence,1779400,1577230,176320,16750,9100,1984
Liquor laws,505500,441500,51770,9420,2820,1984
Drunkenness,1152300,936560,189080,24850,1820,1984
Disorderly conduct,665900,444070,211230,8280,2320,1984
Vagrancy,29100,18670,9610,490,320,1984
All other offenses (except traffic),2406900,1634350,733380,20150,19010,1984
Curfew and loitering,86600,62230,22870,580,930,1984
